[54]2026-01-03 18:52:41,920: Local 39 train start...
[54]2026-01-03 18:52:48,766: [Local  39] epoch=  1, loss=87.224, train time=5.45, epoch time=6.84 (5.45 + 1.39), NDCG@1=0.0896, NDCG@5=0.0651, NDCG@10=0.0732, NDCG@20=0.0950
[54]2026-01-03 18:52:54,184: [Local  39] epoch=  2, loss=85.669, train time=4.65, epoch time=5.42 (4.65 + 0.77), NDCG@1=0.1283, NDCG@5=0.1007, NDCG@10=0.1061, NDCG@20=0.1284
[54]2026-01-03 18:52:58,143: [Local  39] epoch=  3, loss=83.025, train time=3.18, epoch time=3.96 (3.18 + 0.78), NDCG@1=0.1380, NDCG@5=0.1096, NDCG@10=0.1162, NDCG@20=0.1432
[54]2026-01-03 18:53:01,952: [Local  39] epoch=  4, loss=80.091, train time=3.05, epoch time=3.81 (3.05 + 0.76), NDCG@1=0.1453, NDCG@5=0.1156, NDCG@10=0.1255, NDCG@20=0.1478
[54]2026-01-03 18:53:04,887: [Local  39] epoch=  5, loss=78.081, train time=2.20, epoch time=2.93 (2.20 + 0.74), NDCG@1=0.1356, NDCG@5=0.1190, NDCG@10=0.1269, NDCG@20=0.1561
[54]2026-01-03 18:53:05,274: [Local  39] epoch=  6, loss=76.466, train time=0.34, epoch time=0.39 (0.34 + 0.04), NDCG@1=0.1404, NDCG@5=0.1279, NDCG@10=0.1337, NDCG@20=0.1636
[54]2026-01-03 18:53:05,375: [Local  39] epoch=  7, loss=74.263, train time=0.04, epoch time=0.10 (0.04 + 0.06), NDCG@1=0.1646, NDCG@5=0.1416, NDCG@10=0.1495, NDCG@20=0.1838
[54]2026-01-03 18:53:05,426: [Local  39] epoch=  8, loss=71.617, train time=0.01, epoch time=0.05 (0.01 + 0.04), NDCG@1=0.1646, NDCG@5=0.1577, NDCG@10=0.1729, NDCG@20=0.2105
[54]2026-01-03 18:53:05,488: [Local  39] epoch=  9, loss=69.077, train time=0.01, epoch time=0.06 (0.01 + 0.05), NDCG@1=0.1816, NDCG@5=0.1768, NDCG@10=0.1962, NDCG@20=0.2297
[54]2026-01-03 18:53:05,542: [Local  39] epoch= 10, loss=66.716, train time=0.01, epoch time=0.05 (0.01 + 0.04), NDCG@1=0.1985, NDCG@5=0.1887, NDCG@10=0.2119, NDCG@20=0.2415
[54]2026-01-03 18:53:05,593: [Local  39] epoch= 11, loss=64.477, train time=0.01, epoch time=0.05 (0.01 + 0.04), NDCG@1=0.1840, NDCG@5=0.1924, NDCG@10=0.2131, NDCG@20=0.2430
[54]2026-01-03 18:53:05,670: [Local  39] epoch= 12, loss=62.348, train time=0.04, epoch time=0.08 (0.04 + 0.04), NDCG@1=0.1985, NDCG@5=0.1980, NDCG@10=0.2130, NDCG@20=0.2481
