[54]2026-01-14 15:26:36,030: 
>>>>> Main Config
[Dataset]
data_dir: data/recsys_data
dataset: amazon_cds
min_user_per_item: 1
min_item_per_user: 10
leave_k: 5
popularity_order: True

[Evaluator]
ks: [1, 5, 10, 20]

[EarlyStop]
early_stop: 10
early_stop_measure: mean

[Experiment]
num_epochs: 72
verbose: 0
print_step: 1
test_step: 1
test_from: 0
model_name: MF_CFAdaBoost
gpu: 0

>>>>> model Config
[Model]
dropout: 0
emb_dim: 100
neg_sample_rate: 2
neg_sample_rate_eval: 2
reg: 1e-05
batch_size: 1024
test_batch_size: 1024
lr: 0.001
beta1: 1
beta2: 2
tau: 0.001
neg_sample_num: 5
display_step: 1
iters: 40


[54]2026-01-14 15:26:36,030: 
Dataset: amazon_cds
# of users: 581
# of items: 636

[54]2026-01-14 15:26:36,059: train start ... !
[54]2026-01-14 15:26:37,316: epoch=  1, loss=20982.348, train time=0.08, epoch time=0.28 (0.08 + 0.20), NDCG@1=0.0052, NDCG@5=0.0083, NDCG@10=0.0120, NDCG@20=0.0163
[54]2026-01-14 15:26:37,604: epoch=  2, loss=20951.156, train time=0.12, epoch time=0.28 (0.12 + 0.16), NDCG@1=0.0052, NDCG@5=0.0090, NDCG@10=0.0132, NDCG@20=0.0178
[54]2026-01-14 15:26:37,796: epoch=  3, loss=20886.119, train time=0.09, epoch time=0.19 (0.09 + 0.10), NDCG@1=0.0138, NDCG@5=0.0108, NDCG@10=0.0147, NDCG@20=0.0205
[54]2026-01-14 15:26:38,015: epoch=  4, loss=20839.320, train time=0.12, epoch time=0.21 (0.12 + 0.09), NDCG@1=0.0172, NDCG@5=0.0131, NDCG@10=0.0169, NDCG@20=0.0237
[54]2026-01-14 15:26:38,228: epoch=  5, loss=20803.340, train time=0.13, epoch time=0.21 (0.13 + 0.08), NDCG@1=0.0224, NDCG@5=0.0171, NDCG@10=0.0212, NDCG@20=0.0288
[54]2026-01-14 15:26:38,486: epoch=  6, loss=20679.535, train time=0.13, epoch time=0.25 (0.13 + 0.12), NDCG@1=0.0275, NDCG@5=0.0250, NDCG@10=0.0296, NDCG@20=0.0401
[54]2026-01-14 15:26:38,714: epoch=  7, loss=20574.145, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.0396, NDCG@5=0.0384, NDCG@10=0.0469, NDCG@20=0.0596
[54]2026-01-14 15:26:38,948: epoch=  8, loss=20414.850, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.0654, NDCG@5=0.0653, NDCG@10=0.0745, NDCG@20=0.0889
[54]2026-01-14 15:26:39,200: epoch=  9, loss=20160.633, train time=0.15, epoch time=0.25 (0.15 + 0.10), NDCG@1=0.1050, NDCG@5=0.0949, NDCG@10=0.1035, NDCG@20=0.1210
[54]2026-01-14 15:26:39,416: epoch= 10, loss=19778.248, train time=0.13, epoch time=0.21 (0.13 + 0.08), NDCG@1=0.1170, NDCG@5=0.1092, NDCG@10=0.1165, NDCG@20=0.1401
[54]2026-01-14 15:26:39,659: epoch= 11, loss=19311.637, train time=0.15, epoch time=0.24 (0.15 + 0.09), NDCG@1=0.1274, NDCG@5=0.1160, NDCG@10=0.1257, NDCG@20=0.1547
[54]2026-01-14 15:26:39,887: epoch= 12, loss=18685.977, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.1377, NDCG@5=0.1215, NDCG@10=0.1320, NDCG@20=0.1621
[54]2026-01-14 15:26:40,123: epoch= 13, loss=17937.215, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.1480, NDCG@5=0.1272, NDCG@10=0.1365, NDCG@20=0.1664
[54]2026-01-14 15:26:40,344: epoch= 14, loss=17115.807, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.1549, NDCG@5=0.1301, NDCG@10=0.1373, NDCG@20=0.1698
[54]2026-01-14 15:26:40,568: epoch= 15, loss=16339.758, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.1583, NDCG@5=0.1315, NDCG@10=0.1401, NDCG@20=0.1713
[54]2026-01-14 15:26:40,803: epoch= 16, loss=15550.350, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.1704, NDCG@5=0.1362, NDCG@10=0.1450, NDCG@20=0.1743
[54]2026-01-14 15:26:41,029: epoch= 17, loss=14819.850, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.1756, NDCG@5=0.1387, NDCG@10=0.1466, NDCG@20=0.1767
[54]2026-01-14 15:26:41,255: epoch= 18, loss=14201.701, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.1842, NDCG@5=0.1452, NDCG@10=0.1521, NDCG@20=0.1832
[54]2026-01-14 15:26:41,468: epoch= 19, loss=13677.117, train time=0.13, epoch time=0.21 (0.13 + 0.08), NDCG@1=0.1738, NDCG@5=0.1444, NDCG@10=0.1526, NDCG@20=0.1842
