[54]2026-01-03 18:15:38,924: 
>>>>> Main Config
[Dataset]
data_dir: data/recsys_data
dataset: amazon_cds
min_user_per_item: 1
min_item_per_user: 10
leave_k: 5
popularity_order: True

[Evaluator]
ks: [1, 5, 10, 20]

[EarlyStop]
early_stop: 10
early_stop_measure: mean

[Experiment]
num_epochs: 72
verbose: 0
print_step: 1
test_step: 1
test_from: 0
model_name: MF_adaboost
gpu: 0

>>>>> model Config
[Model]
dropout: 0
emb_dim: 100
neg_sample_rate: 2
neg_sample_rate_eval: 2
reg: 1e-05
batch_size: 1024
test_batch_size: 1024
lr: 0.001
beta1: 1
beta2: 2
tau: 0.001
neg_sample_num: 5
display_step: 1
iters: 40


[54]2026-01-03 18:15:38,924: 
Dataset: amazon_cds
# of users: 581
# of items: 636

[54]2026-01-03 18:15:38,952: train start ... !
[54]2026-01-03 18:15:40,162: epoch=  1, loss=21027.893, train time=0.09, epoch time=0.22 (0.09 + 0.14), NDCG@1=0.0069, NDCG@5=0.0110, NDCG@10=0.0144, NDCG@20=0.0199
[54]2026-01-03 18:15:40,461: epoch=  2, loss=20956.574, train time=0.12, epoch time=0.30 (0.12 + 0.18), NDCG@1=0.0052, NDCG@5=0.0118, NDCG@10=0.0146, NDCG@20=0.0215
[54]2026-01-03 18:15:40,670: epoch=  3, loss=20918.070, train time=0.10, epoch time=0.20 (0.10 + 0.11), NDCG@1=0.0086, NDCG@5=0.0123, NDCG@10=0.0159, NDCG@20=0.0225
[54]2026-01-03 18:15:40,913: epoch=  4, loss=20855.539, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.0103, NDCG@5=0.0148, NDCG@10=0.0172, NDCG@20=0.0242
[54]2026-01-03 18:15:41,166: epoch=  5, loss=20794.379, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.0086, NDCG@5=0.0165, NDCG@10=0.0201, NDCG@20=0.0297
[54]2026-01-03 18:15:41,391: epoch=  6, loss=20701.164, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.0155, NDCG@5=0.0223, NDCG@10=0.0270, NDCG@20=0.0383
[54]2026-01-03 18:15:41,619: epoch=  7, loss=20615.070, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.0413, NDCG@5=0.0390, NDCG@10=0.0466, NDCG@20=0.0574
[54]2026-01-03 18:15:41,856: epoch=  8, loss=20409.725, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.0671, NDCG@5=0.0639, NDCG@10=0.0694, NDCG@20=0.0813
[54]2026-01-03 18:15:42,072: epoch=  9, loss=20200.498, train time=0.13, epoch time=0.21 (0.13 + 0.08), NDCG@1=0.0964, NDCG@5=0.0886, NDCG@10=0.0905, NDCG@20=0.1095
[54]2026-01-03 18:15:42,313: epoch= 10, loss=19884.621, train time=0.13, epoch time=0.24 (0.13 + 0.10), NDCG@1=0.1136, NDCG@5=0.1061, NDCG@10=0.1107, NDCG@20=0.1327
[54]2026-01-03 18:15:42,555: epoch= 11, loss=19433.725, train time=0.13, epoch time=0.24 (0.13 + 0.10), NDCG@1=0.1274, NDCG@5=0.1208, NDCG@10=0.1248, NDCG@20=0.1482
[54]2026-01-03 18:15:42,784: epoch= 12, loss=18822.418, train time=0.13, epoch time=0.22 (0.13 + 0.10), NDCG@1=0.1480, NDCG@5=0.1266, NDCG@10=0.1303, NDCG@20=0.1578
[54]2026-01-03 18:15:43,023: epoch= 13, loss=18107.096, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.1566, NDCG@5=0.1325, NDCG@10=0.1371, NDCG@20=0.1636
[54]2026-01-03 18:15:43,285: epoch= 14, loss=17338.363, train time=0.15, epoch time=0.26 (0.15 + 0.11), NDCG@1=0.1652, NDCG@5=0.1338, NDCG@10=0.1394, NDCG@20=0.1664
[54]2026-01-03 18:15:43,500: epoch= 15, loss=16522.121, train time=0.12, epoch time=0.21 (0.12 + 0.09), NDCG@1=0.1601, NDCG@5=0.1354, NDCG@10=0.1404, NDCG@20=0.1668
[54]2026-01-03 18:15:43,720: epoch= 16, loss=15744.258, train time=0.13, epoch time=0.22 (0.13 + 0.08), NDCG@1=0.1652, NDCG@5=0.1367, NDCG@10=0.1427, NDCG@20=0.1693
[54]2026-01-03 18:15:43,956: epoch= 17, loss=15018.988, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.1773, NDCG@5=0.1412, NDCG@10=0.1464, NDCG@20=0.1749
[54]2026-01-03 18:15:44,197: epoch= 18, loss=14352.218, train time=0.14, epoch time=0.24 (0.14 + 0.09), NDCG@1=0.1807, NDCG@5=0.1448, NDCG@10=0.1500, NDCG@20=0.1786
[54]2026-01-03 18:15:44,439: epoch= 19, loss=13803.376, train time=0.15, epoch time=0.24 (0.15 + 0.09), NDCG@1=0.1876, NDCG@5=0.1476, NDCG@10=0.1537, NDCG@20=0.1822
[54]2026-01-03 18:15:44,678: epoch= 20, loss=13305.109, train time=0.15, epoch time=0.23 (0.15 + 0.09), NDCG@1=0.1876, NDCG@5=0.1513, NDCG@10=0.1553, NDCG@20=0.1863
[54]2026-01-03 18:15:44,923: epoch= 21, loss=12879.373, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.1824, NDCG@5=0.1545, NDCG@10=0.1593, NDCG@20=0.1913
[54]2026-01-03 18:15:45,162: epoch= 22, loss=12384.792, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.1928, NDCG@5=0.1574, NDCG@10=0.1665, NDCG@20=0.1971
[54]2026-01-03 18:15:45,374: epoch= 23, loss=11882.125, train time=0.14, epoch time=0.21 (0.14 + 0.07), NDCG@1=0.2031, NDCG@5=0.1612, NDCG@10=0.1741, NDCG@20=0.2017
[54]2026-01-03 18:15:45,628: epoch= 24, loss=11549.062, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.2083, NDCG@5=0.1668, NDCG@10=0.1775, NDCG@20=0.2059
[54]2026-01-03 18:15:45,885: epoch= 25, loss=11144.704, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.2048, NDCG@5=0.1681, NDCG@10=0.1780, NDCG@20=0.2122
[54]2026-01-03 18:15:46,172: epoch= 26, loss=10815.452, train time=0.14, epoch time=0.28 (0.14 + 0.14), NDCG@1=0.2065, NDCG@5=0.1742, NDCG@10=0.1838, NDCG@20=0.2167
[54]2026-01-03 18:15:46,405: epoch= 27, loss=10427.914, train time=0.08, epoch time=0.23 (0.08 + 0.15), NDCG@1=0.2065, NDCG@5=0.1747, NDCG@10=0.1860, NDCG@20=0.2215
[54]2026-01-03 18:15:46,593: epoch= 28, loss=10074.004, train time=0.09, epoch time=0.18 (0.09 + 0.09), NDCG@1=0.2134, NDCG@5=0.1772, NDCG@10=0.1908, NDCG@20=0.2267
